Miasto;Ludnosc
Warszawa;1764615
Krakow;767348
lodz;690422
Wroclaw;638586
Poznan;538633
Gdansk;464254
Szczecin;403883
Bydgoszcz;352313
Lublin;339850
Bialystok;297288
Katowice;296262
Gdynia;246306
Czestochowa;224376
Radom;214566
Sosnowiec;204013
Torun;202562
Kielce;196804
Rzeszow;189662
Gliwice;181309
Zabrze;174349
Olsztyn;173070
Bielsko-Biala;171505
Bytom;168394
Poznan - Stare Miasto;152399
Zielona Gora;139819
Rybnik;139129
Ruda slaska;138578
Poznan - Nowe Miasto;131210
Tychy;128211
Opole;128140
Gorzow Wielkopolski;124295
Dabrowa Gornicza;121121
Elblag;120895
Plock;120787
Poznan - Grunwald;117084
Walbrzych;113621
Wloclawek;111752
Tarnow;109650
Chorzow;109021
Koszalin;107670
Kalisz;101625
Legnica;100324
Grudziadz;95629
Jaworzno;92090
Slupsk;91465
Jastrzebie-Zdroj;89590
Nowy Sacz;84041
Jelenia Gora;80072
  Poznan - Jezyce;80062
Siedlce;77653
Konin;74834
Myslowice;74647
Piotrkow Trybunalsk;74312
Pila;73791
Inowroclaw;73577
Lubin;72892
Ostrow Wielkopolski;72364
Ostrowiec swietokrzysk;69852
Suwalki;69554
Gniezno;68943
Stargard;68195
Glogow;68179
Siemianowice slaskie;67523
Pabianice;65823
Zamosc;64354
Leszno;64197
Chelm;63333
Tomaszow Mazowiecki;63238
lomza;63092
zory;62243
Stalowa Wola;61903
Przemysl;61808
Kedzierzyn-Kozle;61661
Elk;61523
Tarnowskie Gory;61262
Pruszkow;61237
Mielec;60628
Tczew;60257
Belchatow;57964
  Poznan - Wilda;57878
swidnica;57671
Biala Podlaska;57545
Bedzin;57343
Zgierz;56690
Piekary slaskie;55652
Raciborz;55189
Legionowo;54041
Ostroleka;52215
swietochlowice;50385
Wejherowo;49927
Zawiercie;49908
Starachowice;49513
Rumia;48632
Wodzislaw slaski;48345
Skierniewice;48308
Pulawy;48114
Starogard Gdanski;48060
Piaseczno;47660
Tarnobrzeg;47387
Krosno;46600
Kolobrzeg;46568
Radomsko;46409
Debica;46063
Skarzysko-Kamienna;45953
Otwock;44873
Kutno;44513
Nysa;44397
Ciechanow;44303
Sieradz;42570
Zdunska Wola;42374
swinoujscie;41032
Mikolow;40423
Minsk Mazowiecki;40399
Szczecinek;40292
zyrardow;40243
Chojnice;39937
swidnik;39732
Nowa Sol;39098
Boleslawiec;39084
Malbork;38723
Oswiecim;38678
Knurow;38594
Kwidzyn;38553
Sanok;37980
zary;37907
Jaroslaw;37892
Olesnica;37300
Wolomin;37164
Chrzanow;37123
Sochaczew;36790
Sopot;36533
Brzeg;36110
Olkusz;35921
Czechowice-Dziedzice;35795
Zabki;35770
Jaslo;35445
Lebork;35413
Cieszyn;34876
Krasnik;34821
Dzierzoniow;33653
Nowy Targ;33361
Ostroda;33243
Ilawa;33132
Police;32970
Olawa;32883
Marki;32686
Myszkow;31974
Czeladz;31901
Lubon;31653
zywiec;31560
Mlawa;31243
Grodzisk Mazowiecki;30955
Swarzedz;30739
Zgorzelec;30738
Pruszcz Gdanski;30468
lukow;30310
Wrzesnia;30279
Augustow;30270
Bielawa;30207
Bochnia;29992
srem;29845
Gizycko;29480
Krotoszyn;29109
Brodnica;28717
lowicz;28704
Nowy Dwor Mazowiecki;28637
Czerwionka-Leszczyny;28329
Gorlice;27781
Ketrzyn;27478
Turek;27311
Zakopane;27266
Klodzko;27193
Wyszkow;26965
Bilgoraj;26550
Jarocin;26238
zagan;26148
swiecie;25924
Pszczyna;25906
Bielsk Podlaski;25611
Wagrowiec;25607
Walcz;25533
Reda;25102
Bialogard;24368
Skawina;24325
Koscian;23907
Lubliniec;23899
Sandomierz;23863
Bartoszyce;23810
Koscierzyna;23809
Kluczbork;23797
Szczytno;23500
Jawor;23266
sroda Wielkopolska;23124
Kobylka;23120
Wieliczka;22946
swiebodzice;22840
Wielun;22794
Piastow;22732
Ostrow Mazowiecka;22656
Goleniow;22553
Polkowice;22504
Nowa Ruda;22455
laziska Gorne;22390
Kolo;22227
Plonsk;22214
Zambrow;22173
Lubartow;22138
Grajewo;22049
swiebodzin;21954
Mragowo;21889
Rydultowy;21700
Aleksandrow lodzki;21535
Opoczno;21534
Gryfino;21393
Dzialdowo;21370
Luban;21318
Prudnik;21237
Hajnowka;20919
Orzesze;20773
Andrychow;20567
Jozefow;20488
Rawicz;20406
Gostyn;20182
Trzebinia;19954
Chelmno;19911
Ozorkow;19685
Sulejowek;19663
Bierun;19639
Konskie;19534
Pultusk;19448
Pisz;19386
Tomaszow Lubelski;19365
Kamienna Gora;19348
leczna;19167
Sokolow Podlaski;18924
Krasnystaw;18912
Kety;18886
Chodziez;18877
Wadowice;18851
Szamotuly;18835
Gostynin;18720
Pionki;18618
Naklo nad Notecia;18531
Zlotow;18441
Pyskowice;18417
Myslenice;18415
Oborniki;18341
Sokolka;18331
Miedzyrzecz;18255
Sierpc;18148
Strzelce Opolskie;18057
Konstantynow lodzki;18013
Kostrzyn nad Odra;17918
Hrubieszow;17903
Radlin;17861
lancut;17777
Bogatynia;17762
Zielonka;17539
Kozienice;17518
lask;17484
Rawa Mazowiecka;17480
Pleszew;17437
Garwolin;17381
Trzcianka;17228
Przasnysz;17223
Konstancin-Jeziorna;17191
Libiaz;17135
Braniewo;17074
Sulechow;17012
Bytow;16983
Miedzyrzec Podlaski;16925
Brzesko;16884
lomianki;16875
Ledziny;16819
Slubice;16816
Radzionkow;16798
Nowogard;16756
Gubin;16740
Grojec;16674
Gryfice;16600
Olecko;16508
Krapkowice;16500
Rypin;16482
Deblin;16398
Milanowek;16398
Namyslow;16360
Strzegom;16272
Ustron;16108
Busko-Zdroj;16092
Lidzbark Warminski;15877
Jelcz-Laskowice;15867
Ropczyce;15848
Radzyn Podlaski;15808
Zlotoryja;15783
swidwin;15725
Ustka;15709
lapy;15689
Solec Kujawski;15661
Boguszow-Gorce;15566
Przeworsk;15452
Jedrzejow;15369
Nisko;15355
Choszczno;15352
Zabkowice slaskie;15219
Limanowa;15103
Staszow;14942
Nowy Tomysl;14702
Chelmza;14645
Kartuzy;14611
Grodzisk Wielkopolski;14595
Lipno;14592
Siemiatycze;14590
Skoczow;14504
Glowno;14422
Ostrzeszow;14325
leczyca;14252
Kepno;14190
Lubsko;14182
Pszow;14114
Wschowa;14084
znin;14041
Morag;13994
Lezajsk;13990
Debno;13931
Darlowo;13924
Nidzica;13872
Czluchow;13869
Barlinek;13853
Slupca;13851
Tuchola;13793
Mosina;13762
Wabrzezno;13749
Goldap;13740
Glucholazy;13735
Chojnow;13573
Brwinow;13533
Wlodawa;13350
Wolsztyn;13328
Trzebnica;13261
Koluszki;13148
Zlocieniec;13068
Klobuck;13014
Rabka-Zdroj;12883
Golub-Dobrzyn;12828
Wegrow;12765
Pyrzyce;12709
Radzymin;12644
Glubczyce;12624
Slawno;12590
Brzeziny;12534
Niepolomice;12507
Brzeg Dolny;12486
Wolow;12439
Strzelin;12423
Blonie;12354
Paslek;12298
Aleksandrow Kujawski;12270
Lubaczow;12101
Mogilno;11995
Gora;11994
Janow Lubelski;11986
Szprotawa;11944
Gora Kalwaria;11942
Dabrowa Tarnowska;11924
Warka;11894
Szydlowiec;11854
Miechow;11696
Drawsko Pomorskie;11672
Zdzieszowice;11633
Krosno Odrzanskie;11524
Milicz;11482
Wegorzewo;11438
Brzeszcze;11345
Mysliborz;11328
Ozarow Mazowiecki;11311
Wronki;11293
Puck;11265
Koronowo;11230
Nowa Deba;11215
Rogozno;11115
Wisla;11106
Kowary;11090
Wasilkow;11074
Nowe Miasto Lubawskie;10997
Pinczow;10946
Czarnkow;10784
Krynica-Zdroj;10757
Parczew;10748
Miedzychod;10660
Miastko;10605
Ciechocinek;10586
Biskupiec;10539
