plec,grupa,punkty
M,A,0
M,A,11
M,A,0
M,A,12
M,A,10.5
M,A,9
M,A,11.5
K,A,12
K,A,11.5
M,A,10
M,A,11
M,A,10
M,A,8.5
M,A,3
M,A,8
M,A,8
M,A,8.5
M,A,9
M,A,9
K,A,14
M,A,12.5
M,A,10
M,A,9.5
M,B,7
M,A,5
M,D,6
M,A,7
M,A,0
M,A,9
M,A,9
M,A,11
M,A,10.5
M,B,12.5
M,B,11.5
M,B,8
M,C,5.5
M,B,10
M,A,3.5
M,B,10
M,A,0
M,B,11.5
M,B,10.5
M,B,11
M,B,12
M,A,9.5
M,B,8
M,B,6.5
M,B,10
M,B,10
M,B,12
M,B,12
M,B,9.5
M,B,11.5
K,B,9
M,B,12
M,B,11.5
M,B,12.5
M,B,4
M,C,6.5
M,D,7
M,C,3
M,C,9.5
M,C,8
M,C,11
M,C,12
M,C,11
M,C,5
M,C,9
K,C,8
K,B,9.5
M,C,6.5
K,C,7
M,C,9
M,C,4
M,E,6
M,C,5.5
M,C,7.5
M,C,7
M,C,7.5
K,C,7
M,C,12
M,C,8.5
M,C,7
M,C,8
M,C,5
M,B,2.5
M,B,9
M,C,7
K,C,9
M,C,11.5
M,C,2.5
M,C,9.5
M,B,8.5
M,C,9.5
M,B,5
K,E,7.5
M,D,8
K,D,8.5
M,B,0
M,D,9.5
M,D,10.5
M,D,10.5
M,E,6
M,E,4
M,D,9
M,D,8.5
K,D,9
M,D,11
M,D,10.5
M,D,10
M,D,9
M,E,13
M,D,9
K,D,10.5
M,B,7.5
M,D,9.5
M,D,7
K,A,1.5
M,D,1
M,D,8.5
M,D,12
M,D,7
M,E,13
M,D,9.5
K,D,10
M,D,6.5
K,D,13
M,D,8
K,E,14
M,D,9
M,D,13
M,D,5
M,D,8.5
M,D,11
M,E,3
M,D,6
M,E,4
M,D,7.5
K,D,8
M,D,10.5
M,B,1
